indicator_orig,indicator_harmonized,indic_id,var_indic,ILK
 Low-flows days,low-flows days,IPCC_12_17_601,2,NA
 Extreme low runoff,extreme low runoff,IPCC_12_17_601,2,NA
Lightning frequency,lightning frequency,IPCC_12_18_602,1,NA
 Fuel aridity,fuel aridity,IPCC_12_18_602,1,NA
 Snow cover,snow cover,IPCC_12_18_602,1,NA
 local wind circulations,local wind circulations,IPCC_12_18_602,1,NA
snow water equivalent at key seasonal dates,snow water equivalent at key seasonal dates,IPCC_12_19_604,2,NA
 the fraction of precipitation falling as snow,fraction of precipitation falling as snow,IPCC_12_19_604,2,NA
 the first and last days of snow cover,first and last days of snow cover,IPCC_12_19_604,2,NA
 cold season temperatures,cold season temperatures,IPCC_12_19_604,2,NA
threshold when the local land elevation falls below the local mean higher high water (MHHW),threshold when the local land elevation falls below the local mean higher high water (mhhw),IPCC_12_20_605,2,NA
 threshold when flooding occurs about once every two weeks,threshold when flooding occurs about once every two weeks,IPCC_12_20_605,2,NA
 rate of RSLR (relative sea level rise),rate of rslr (relative sea level rise),IPCC_12_20_605,2,NA
magnitude of shoreline retreat by a pre-determined planning horizon such as 50 or 100 years into the future,magnitude of shoreline retreat by a pre-determined planning horizon such as 50 or 100 years into the future,IPCC_12_20_606,2,NA
 beach erosion volume due to the 100-year recurrence storm wave height,beach erosion volume due to the 100-year recurrence storm wave height,IPCC_12_20_606,2,NA
 full exceedance probability distribution of coastal erosion volume,full exceedance probability distribution of coastal erosion volume,IPCC_12_20_606,2,NA
 cumulative storm energy and storm power index,cumulative storm energy and storm power index,IPCC_12_20_606,2,NA
climatic impact-driver (cid) magnitude,climatic impact-driver (cid) magnitude,IPCC_12_22_609,2,NA
climatic impact-driver (cid) frequency,climatic impact-driver (cid) frequency,IPCC_12_22_609,2,NA
 climatic impact-driver (cid) duration,climatic impact-driver (cid) duration,IPCC_12_22_609,2,NA
 climatic impact-driver (cid) timing,climatic impact-driver (cid) timing,IPCC_12_22_609,2,NA
 climatic impact-driver (cid) spatial extent,climatic impact-driver (cid) spatial extent,IPCC_12_22_609,2,NA
Change in # days Tx>35°C,change in # days tx>35°c,IPCC_12_24_613,2,NA
 Change in # days HI>41°C,change in # days hi>41°c,IPCC_12_24_613,2,NA
 Change in # droughts,change in # droughts,IPCC_12_24_613,2,NA
 Change in # soil moisture,change in # soil moisture,IPCC_12_24_613,2,NA
 change in mean wind,change in mean wind,IPCC_12_24_613,2,NA
 change in extreme total water level,change in extreme total water level,IPCC_12_24_613,2,NA
Areas below calcium carbonate saturation thresholds,areas below calcium carbonate saturation thresholds,IPCC_12_24_615,1,NA
Heat Index HI>41°C,heat index (hi),IPCC_12_27_618,2,NA
Drought Index (DI),drought index (di),IPCC_12_43_640,2,NA
Drought Frequency (DF),drought frequency (df),IPCC_12_43_641,2,NA
Forest Fire Danger INDEX (FFDI),forest fire danger index (ffdi),IPCC_12_43_642,2,NA
C-Haines Index,c-haines index,IPCC_12_43_643,2,NA
 Forest fire danger Index (FFDI),forest fire danger index (ffdi),IPCC_12_43_643,2,NA
combined sea level due to storm surge and tide,combined sea level due to storm surge and tide,IPCC_12_45_645,2,NA
growing degree days,growing degree days,IPCC_12_46_648,2,NA
 cooling degree days,cooling degree days,IPCC_12_46_648,2,NA
Wet bulb globe temperature (WBGT) Index,wet bulb globe temperature (wbgt) index,IPCC_12_49_649,2,NA
 maximum temperatures,maximum temperatures,IPCC_12_49_649,2,NA
 Heat Index (hi),heat index (hi),IPCC_12_49_649,2,NA
cooling degree day INDEX,cooling degree day index,IPCC_12_54_662,2,NA
Heat stress index,heat stress index,IPCC_12_54_663,2,NA
 wet bulb globe temperature (WBGT) index,wet bulb globe temperature (wbgt) index,IPCC_12_54_663,2,NA
Heating degree day Index,heating degree day index,IPCC_12_56_664,2,NA
Standardized Precipitation INDEX,standardized precipitation index (spi),IPCC_12_57_665,2,NA
 consecutive dry days (cdd),consecutive dry days (cdd),IPCC_12_57_665,2,NA
Drought Severity INDEX,drought severity index,IPCC_12_57_666,2,NA
 Standardized Precipitation Index,standardized precipitation index (spi),IPCC_12_57_666,2,NA
shoreline change (indicator of coastal erosion),shoreline change (indicator of coastal erosion),IPCC_12_60_671,1,NA
 humidity,humidity,IPCC_12_62_673,1,NA
Monthly Drought Code fire INDEX,monthly drought code fire index,IPCC_12_66_682,2,NA
 fire Weather INDEX (FWI),fire weather index (fwi),IPCC_12_66_682,2,NA
 maximum fire weather INDEX,maximum fire weather index,IPCC_12_66_682,2,NA
convective available potential energy and wind shear,convective available potential energy and wind shear,IPCC_12_66_684,1,NA
Degree heating weeks,degree heating weeks,IPCC_12_70_691,1,NA
 Degree heating months,degree heating months,IPCC_12_70_691,1,NA
Wet bulb globe temperature (WBGT) index,wet bulb globe temperature (wbgt) index,IPCC_12_71_692,2,NA
 maximum daytime heat index,maximum daytime heat index,IPCC_12_71_692,2,NA
Regional deficit index,regional deficit index,IPCC_12_72_695,2,NA
Tide gauges,tide gauge,IPCC_12_73_700,1,NA
Fire weather index (fwi),fire weather index (fwi),IPCC_12_79_710,2,NA
fire risk,fire risk,IPCC_12_85_722,2,NA
Heat Index (hi),heat index (hi),IPCC_12_85_724,2,NA
Standardized Precipitation Evapotranspiration Index SPEI,standardized precipitation evapotranspiration index (spei),IPCC_12_85_726,2,NA
Wet bulb temperature,wet bulb temperature,IPCC_12_88_731,1,NA
